,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Georgia Southern,33,17,16,.515,-3.04,-1.81,,9,9,,12,4,,3,11,,2257,2201,,67.6,98.3,.326,.375,.518,49.8,48.7,9.1,6.9,.484,16.8,26.9,.229
102,Georgia State,31,10,21,.323,-6.58,-0.72,,3,15,,10,9,,0,11,,2068,2150,,67.8,101.9,.339,.344,.534,48.8,52.2,10.0,9.2,.497,15.6,28.4,.245
103,Georgia Tech,33,15,18,.455,2.15,4.96,,6,14,,11,6,,3,9,,2301,2335,,67.6,104.3,.302,.352,.526,51.2,56.2,8.1,9.5,.494,14.0,30.3,.215
104,Gonzaga,33,28,5,.848,20.16,7.54,,14,2,,15,1,,7,2,,2888,2406,,71.8,101.1,.263,.394,.541,46.3,45.2,7.3,5.4,.512,17.1,25.5,.193
105,Grambling,32,24,8,.750,-3.63,-8.09,,15,3,,11,1,,9,6,,2218,1993,,67.8,91.5,.390,.382,.481,48.3,51.4,10.3,7.9,.441,18.4,31.1,.258
106,Grand Canyon,35,24,11,.686,4.64,1.02,,10,7,,14,4,,5,5,,2636,2339,,66.9,99.2,.320,.330,.494,47.6,43.3,8.3,7.8,.457,13.7,29.2,.224
107,Green Bay,32,3,29,.094,-20.09,-2.93,,2,18,,2,10,,1,17,,1898,2447,,66.2,115.0,.316,.346,.581,56.4,49.6,11.0,11.2,.548,14.0,32.4,.240
108,Hampton,32,8,24,.250,-15.10,-4.55,,5,13,,7,6,,1,13,,2183,2481,,69.9,110.5,.355,.371,.562,53.1,55.0,8.0,9.2,.534,13.9,30.0,.245
109,Hartford,28,5,23,.179,-23.34,-8.18,,,,,5,10,,0,11,,1757,1991,,66.3,107.3,.259,.382,.555,52.3,58.7,11.0,9.1,.532,16.0,31.1,.184
110,Harvard,28,14,14,.500,-0.82,-2.13,,5,9,,5,7,,8,6,,1914,1858,,67.8,97.0,.249,.388,.515,47.1,47.4,10.2,8.7,.484,16.5,24.9,.184
