,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
159,Towson,CAA,,,21,12,71.8,66.7,5.03,,-4.74,,-1.21,1.51,0.29,86.99,84.76,2.23
160,Utah Tech,WAC,,,14,19,75.6,73.3,2.27,,1.33,,2.87,-2.71,0.16,88.40,87.15,1.25
161,UC Davis,Big West,,,18,14,74.8,71.1,3.69,,-1.29,,2.97,-2.83,0.14,85.14,83.71,1.42
162,East Carolina,AAC,,,16,16,69.5,70.8,-1.31,,1.76,,-1.66,1.72,0.06,79.64,77.24,2.40
163,Minnesota,Big Ten,,,9,22,62.9,71.0,-8.16,,8.22,,-2.24,2.30,0.06,81.88,80.79,1.08
164,Pacific,WCC,,,15,18,75.8,77.7,-1.91,,2.58,,4.84,-4.88,-0.03,88.11,87.15,0.96
165,Saint Joseph's,A-10,,,16,17,72.4,72.4,-0.03,,-0.16,,1.98,-2.17,-0.19,84.24,83.29,0.95
166,Old Dominion,Sun Belt,,,19,12,66.9,66.2,0.68,,-0.43,,-3.71,3.52,-0.20,82.47,81.91,0.56
167,Long Beach State,Big West,,,17,16,76.5,74.4,2.09,,-0.04,,7.26,-7.47,-0.21,85.71,85.10,0.61
168,Louisiana Tech,CUSA,,,15,18,72.2,70.3,1.91,,1.56,,0.49,-0.72,-0.24,83.80,82.81,0.99
169,Florida State,ACC,,,9,23,69.3,76.2,-6.88,,6.56,,1.90,-2.22,-0.32,85.66,84.79,0.87
170,Tarleton State,WAC,,,17,16,72.0,67.8,4.24,,2.07,,-2.69,2.27,-0.42,82.72,82.50,0.22
171,Ball State,MAC,,,20,12,76.4,71.6,4.78,,-3.05,,1.67,-2.42,-0.75,87.29,86.63,0.67
172,Montana,Big Sky,,,17,14,69.3,68.2,1.06,,-1.51,,-2.30,1.49,-0.81,88.13,88.39,-0.26
173,Harvard,Ivy,,,14,14,68.4,66.4,2.00,,-2.13,,-4.57,3.75,-0.82,80.32,79.93,0.39
174,Northern Kentucky,Horizon,,,22,12,68.2,63.6,4.68,,-3.43,,-6.76,5.80,-0.96,83.19,82.92,0.27
175,UTEP,CUSA,,,14,18,68.5,68.5,0.00,,1.54,,-3.39,2.37,-1.02,77.87,77.73,0.14
176,Georgetown,Big East,,,7,25,69.5,78.1,-8.59,,7.50,,2.07,-3.16,-1.09,84.09,84.15,-0.06
177,St. Bonaventure,A-10,,,14,18,66.8,67.7,-0.91,,-0.19,,-4.34,3.25,-1.09,81.25,81.36,-0.12
178,Western Kentucky,CUSA,,,17,16,71.4,70.6,0.76,,0.74,,-0.92,-0.25,-1.17,82.11,82.31,-0.20
179,UNC Wilmington,CAA,,,24,10,68.9,64.3,4.59,,-3.07,,-4.16,2.97,-1.19,82.08,82.28,-0.20
180,Massachusetts,A-10,,,15,16,69.8,71.4,-1.65,,0.43,,0.39,-1.61,-1.22,79.80,80.35,-0.55
181,New Mexico State,WAC,,,9,15,73.7,71.7,2.04,,2.73,,1.52,-2.79,-1.27,86.33,87.02,-0.69
182,Appalachian State,Sun Belt,,,16,16,70.3,64.6,5.66,,-0.77,,-5.23,3.94,-1.29,81.02,81.83,-0.82
183,South Dakota State,Summit,,,19,13,70.9,69.8,1.16,,-1.60,,-1.80,0.45,-1.34,83.94,84.43,-0.49
184,UNC Asheville,Big South,,,27,7,75.0,68.6,6.44,,-5.33,,-0.12,-1.36,-1.48,78.99,80.41,-1.42
185,San Diego,WCC,,,11,20,77.1,80.5,-3.35,,3.77,,5.92,-7.50,-1.58,91.52,92.53,-1.01
186,George Washington,A-10,,,16,16,76.3,76.7,-0.44,,-0.40,,5.81,-7.53,-1.73,89.42,90.22,-0.81
187,Longwood,Big South,,,20,12,73.2,66.2,6.94,,-6.41,,-3.26,1.46,-1.81,83.32,84.44,-1.12
188,South Carolina,SEC,,,11,21,64.3,72.6,-8.28,,6.41,,-3.34,1.46,-1.88,83.02,84.79,-1.76
189,Cleveland State,Horizon,,,21,13,71.7,68.1,3.62,,-4.93,,-2.26,0.36,-1.90,83.65,85.25,-1.59
190,Lipscomb,A-Sun,,,20,13,76.4,71.0,5.39,,-3.97,,1.66,-3.56,-1.90,83.50,85.12,-1.62
191,Texas State,Sun Belt,,,16,19,66.0,66.7,-0.71,,-0.43,,-5.13,3.07,-2.06,83.90,85.94,-2.03
192,Wright State,Horizon,,,18,15,79.9,73.7,6.21,,-5.65,,4.31,-6.41,-2.10,83.90,85.81,-1.91
193,Chattanooga,Southern,,,18,17,77.2,72.1,5.11,,-3.18,,2.02,-4.20,-2.18,87.43,89.30,-1.88
194,Northern Iowa,MVC,,,14,18,70.1,69.9,0.19,,-0.58,,-1.24,-0.95,-2.19,83.83,85.69,-1.87
195,Drexel,CAA,,,17,15,66.7,62.4,4.31,,-5.43,,-6.40,4.13,-2.27,80.30,81.79,-1.49
196,Texas A&M-Corpus Christi,Southland,,,23,10,80.4,72.5,7.85,,-7.66,,2.39,-4.70,-2.31,84.33,86.18,-1.85
197,Quinnipiac,MAAC,,,20,12,73.0,69.7,3.25,,-5.17,,1.21,-3.60,-2.39,83.67,85.92,-2.25
198,Radford,Big South,,,19,14,69.7,64.9,4.82,,-4.49,,-4.74,2.28,-2.45,83.43,85.74,-2.31
199,Eastern Kentucky,A-Sun,,,20,13,77.4,72.1,5.24,,-2.11,,0.23,-2.71,-2.47,81.00,82.97,-1.98
200,Abilene Christian,WAC,,,13,17,75.0,71.1,3.87,,1.18,,1.36,-3.87,-2.51,85.43,87.62,-2.19
201,Stetson,A-Sun,,,17,13,76.6,73.3,3.27,,-2.56,,2.25,-4.82,-2.56,90.83,93.11,-2.28
202,Florida Gulf Coast,A-Sun,,,17,15,71.3,69.4,1.81,,-3.02,,-1.90,-0.67,-2.57,83.36,85.87,-2.51
203,Weber State,Big Sky,,,18,15,67.2,67.5,-0.30,,-0.99,,-5.37,2.76,-2.61,80.57,83.50,-2.93
204,La Salle,A-10,,,15,19,69.8,72.6,-2.76,,0.13,,-0.55,-2.08,-2.63,82.70,85.14,-2.44
205,Brown,Ivy,,,14,13,69.6,69.3,0.22,,-2.89,,-2.49,-0.18,-2.67,78.47,80.52,-2.05
206,Buffalo,MAC,,,15,17,77.5,77.7,-0.13,,0.97,,3.79,-6.46,-2.67,82.23,83.55,-1.32
207,St. Thomas,Summit,,,19,14,74.2,70.2,3.97,,-4.23,,-0.31,-2.37,-2.69,87.90,90.31,-2.41
208,Rice,CUSA,,,18,15,76.7,76.4,0.27,,0.97,,4.55,-7.27,-2.73,85.92,88.23,-2.31
209,North Carolina Central,MEAC,,,18,12,75.6,65.9,9.70,,-5.96,,-2.58,-0.19,-2.77,78.90,81.39,-2.49
